         58140714 function calls (58122759 primitive calls) in 162.026 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       37    0.000    0.000    0.000    0.000 __init__.py:22(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:2204(Grid)
       39    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
      366    0.002    0.000    0.003    0.000 __init__.py:2219(_check_isinstance)
      732    0.000    0.000    0.000    0.000 __init__.py:2234(<genexpr>)
      366    0.000    0.000    0.000    0.000 __init__.py:2236(type_name)
        1    0.000    0.000    0.000    0.000 __init__.py:225(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:2251(BaseWidget)
       26    0.000    0.000    0.000    0.000 __init__.py:2253(_setup)
     2389    0.002    0.000    0.002    0.000 __init__.py:2254(_check_in_list)
      132    0.000    0.000    0.001    0.000 __init__.py:2271(_check_shape)
       26    0.000    0.000    0.033    0.001 __init__.py:2286(__init__)
      396    0.000    0.000    0.000    0.000 __init__.py:2292(<genexpr>)
       26    0.000    0.000    0.000    0.000 __init__.py:2295(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:23(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_char)
     26/4    0.001    0.000    0.033    0.008 __init__.py:2302(destroy)
        1    0.000    0.000    0.000    0.000 __init__.py:2313(Widget)
        1    0.000    0.000    0.000    0.000 __init__.py:2320(Toplevel)
        1    0.000    0.000    0.000    0.000 __init__.py:2332(_classproperty)
        1    0.000    0.000    0.000    0.000 __init__.py:234(Projection)
        1    0.000    0.000    0.000    0.000 __init__.py:234(silent_list)
        1    0.000    0.000    0.000    0.000 __init__.py:2348(Button)
        1    0.000    0.000    0.000    0.000 __init__.py:2349(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char_p)
  124/123    0.000    0.000    0.000    0.000 __init__.py:235(wrapper)
       10    0.000    0.000    0.031    0.003 __init__.py:2350(__init__)
        5    0.000    0.000    0.000    0.000 __init__.py:2356(_backend_module_name)
        1    0.000    0.000    0.000    0.000 __init__.py:2393(Canvas)
        2    0.000    0.000    0.001    0.000 __init__.py:2395(__init__)
        1    0.000    0.000    0.002    0.002 __init__.py:24(<module>)
